STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,2/13/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",51,",,0",27,",,0",42,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,2/14/1970,,,,,0,"T,,0,1800",0,"T,,0,",0,",,0,",41,",,0",29,",,0",32,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,2/15/1970,,,,,0.03,",,0,1800",0,",,0,",0,",,0,",56,",,0",28,",,0",51,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,2/16/1970,,,,,0.2,",,0,1800",0,",,0,",0,",,0,",60,",,0",31,",,0",32,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,2/17/1970,,,,,0.73,",,0,1800",0,",,0,",0,",,0,",34,",,0",30,",,0",34,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,2/18/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",57,",,0",30,",,0",49,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,2/19/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",67,",,0",43,",,0",51,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,2/20/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",51,",,0",22,",,0",41,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,2/21/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",44,",,0",16,",,0",40,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,2/22/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",64,",,0",26,",,0",57,",,0,1800"
